PID,LotArea,Age,TotalBsmtSF,SalePrice
528110010,13478,3,1722,451950
528110020,13693,4,2630,610000
528110090,13891,3,1734,582933
528112040,11578,3,1736,360000
528116010,16870,7,1782,296000
528118060,23303,4,1508,409900
528120020,11146,5,1709,255500
528120030,10367,3,1739,335000
528120160,9591,7,1713,274900
528120170,10872,5,1504,300000
528138010,13514,3,1774,324000
528142040,8834,7,1462,350000
528142090,11362,7,1836,280000
528142130,10655,8,3206,284000
528142150,12878,8,1760,269500
528144020,9541,2,1502,233170
528166060,13472,8,2392,386250
528166090,15274,8,2452,445000
528168030,13262,8,1082,290000
528172060,9658,5,1598,255900
528174050,6904,6,1358,213000
528174060,5381,6,1306,196000
528174070,5122,6,1306,184500
528175050,10307,4,1350,212500
528175060,5001,4,1314,230000
528176030,14836,7,2492,552000
528178010,15262,8,2200,382500
528180120,7390,3,1884,320000
528180130,6472,3,1451,248500
528186010,16770,9,1712,286500
528186180,6240,5,1324,254000
528188020,3480,8,1405,173000
528188060,2268,8,764,173000
528218090,10928,6,728,184000
528220040,8918,6,745,167800
528221060,12589,6,742,174000
528221070,11911,6,684,174000
528228290,3684,4,1373,174000
528228295,3635,4,1386,175900
528228435,3182,6,1373,192500
528228450,3182,6,1346,181000
528228455,3182,6,1220,180000
528228460,3182,6,1145,160200
528235010,7795,7,716,188500
528235090,8068,9,1010,200000
528235200,9434,7,384,170000
528240030,7984,7,868,189500
528240060,7750,9,408,184100
528240150,10125,7,846,195500
528250020,8965,8,782,192000
528250040,8174,8,698,178000
528253010,5063,4,1314,207500
528275070,8795,11,952,236000
528275160,12891,9,870,257500
528280230,12224,11,992,244000
528290030,9734,7,384,167000
528290120,8123,11,982,179000
528290180,8433,11,794,190000
528290190,7750,12,384,156000
528292030,15896,12,1177,245000
528292040,24682,12,841,181000
528292070,8755,12,992,214000
528294050,7848,12,384,168000
528315090,9430,12,1252,337000
528321010,15138,16,1462,403000
528327070,12720,11,1455,327000
528344040,16545,13,1284,340000
528344100,12203,13,1225,336000
528354050,10208,15,1264,265000
528363050,10750,17,2024,315000
528365070,9900,18,1347,260000
528385050,9085,16,1070,260000
528387030,11692,18,1173,263550
528390100,46589,17,1629,402000
528390210,29959,17,973,248000
528427020,9612,3,1468,244600
528431020,11194,3,1696,275000
528431070,10206,3,1614,257500
528435030,9262,3,1573,287090
528435050,10130,4,1702,275500
528439060,9139,5,1422,245000
528441020,9675,6,1113,253000
528441090,11128,6,2458,468000
528456180,8640,2,900,252678
528456220,9000,3,768,210000
528456240,7862,2,1218,208300
528458020,7993,3,1436,225000
528458040,8640,2,1300,229456
528458060,8640,3,1402,229800
528458140,12606,4,1530,250000
528458160,9187,2,1766,370878
528458180,7500,5,1372,238500
528477050,11003,3,1017,310000
528477070,10603,5,900,270000
528480040,10574,6,1082,252000
528480130,8125,5,1092,241000
528480170,8125,3,1836,264500
528482040,10625,5,1652,291000
528482130,9375,8,912,263000
528488100,7500,7,1221,185000
528490040,8736,8,1553,234500
528490070,8127,8,812,209000
531363010,9605,4,1218,159000
531363030,7500,5,1141,152000
531363050,7500,7,1158,143500
531369010,10628,7,835,193000
531369020,10141,7,1512,203000
531371050,10083,8,1176,184900
531375040,13072,7,1114,159000
531375090,13072,7,1114,142000
531375130,12450,8,1114,153000
531376090,7328,3,1450,224243
531379050,11492,15,913,220000
531382070,10994,6,1844,257000
531385020,8529,10,1454,189000
531450120,7703,19,816,171500
531452010,10762,31,626,120000
531452070,7175,21,1332,145000
531452260,9109,17,754,184000
531453100,10274,25,676,162000
531475220,8250,30,0,160000
531477020,8400,61,721,82000
531479020,9000,83,784,76000
532353020,9750,49,980,110000
532353130,7064,34,980,135000
532354160,8499,50,864,141000
532354230,9079,50,864,122000
532376070,9316,46,1024,124100
532376110,7791,48,912,129000
532377130,10000,50,864,131400
532378120,8281,46,864,62383
532378180,7150,49,912,123000
532478020,15676,31,2014,275000
533135020,11949,20,975,235000
533206020,2880,7,1376,280750
533210010,3951,2,612,164500
533210020,3000,2,612,173733
533213010,3830,3,1726,222000
533213020,4217,3,1145,195000
533213040,3230,12,729,172500
533221040,2998,11,756,180000
533223030,3768,12,691,156000
533236050,2645,12,970,172500
533252040,14694,34,1694,318750
533253070,3782,30,1226,211500
533254050,15417,30,1740,241600
533254110,9600,35,392,180500
533352150,9991,35,1281,150000
534125080,11700,43,727,154000
534127130,11717,41,1442,185000
534127170,9156,43,1489,185750
534128010,10382,38,1107,200000
534128020,12732,37,752,206000
534128100,12936,39,723,162000
534128190,10400,44,932,256900
534129080,17871,44,1680,197900
534129370,9600,42,1288,163000
534129380,9000,42,1216,113000
534151120,13774,34,908,230000
534152120,9650,34,1350,167900
534175080,10140,13,1650,213250
534177230,8400,10,810,227000
534200030,7130,44,864,130000
534202170,9600,44,1568,143000
534226120,9100,46,925,117500
534250400,9600,37,1165,168500
534251030,16500,40,1232,172500
534252240,9790,44,1372,161500
534275060,7436,51,894,141500
534275100,8125,52,864,118000
534276040,9100,52,864,127500
534277090,9450,54,1040,140000
534278070,13495,55,1048,177625
534278230,11475,53,1584,110000
534400050,10004,47,1516,167000
534400290,9350,50,1313,153000
534402060,10500,47,1292,145100
534402140,11000,45,1154,154000
534402170,8970,46,744,177500
534403370,12095,47,1127,158000
534426110,9600,52,1041,124500
534429150,11475,50,1208,174500
534431130,9768,56,960,122000
534450150,5330,71,420,82500
534451110,7015,61,709,110000
534475185,12160,58,1505,149500
534475250,9900,44,1680,175000
534476150,9600,58,1416,167000
534476320,9600,55,1050,128900
534477110,9600,61,856,140000
534478230,9600,61,1113,147000
535101120,8944,44,1584,124000
535104120,10573,50,1453,187500
535105100,9500,48,1394,159000
535125070,14695,45,1562,256000
535125090,13600,46,768,205000
535126010,13000,43,896,193500
535126100,13560,43,1392,110000
535150070,12513,91,715,104900
535151040,8760,55,1169,150000
535152230,8400,54,1478,156500
535154060,12285,51,1329,176000
535154130,9240,52,988,149500
535175030,9600,53,1240,139000
535175050,12400,53,1215,155000
535178040,8750,55,1202,120000
535178120,8750,56,1382,153000
535179160,10400,55,1200,144000
535300120,19296,49,1362,176000
535301170,8532,57,1297,153000
535302120,9482,53,1866,135000
535303110,8128,57,1062,131000
535303150,10634,58,608,123000
535304100,13070,60,631,126000
535325290,10434,56,1005,115000
535351050,14559,60,1008,164900
535352090,8480,66,793,113000
535353040,7626,59,1031,145500
535353060,9533,58,0,102900
535353140,10615,111,978,95000
535353240,11419,63,699,152500
535354070,9600,61,1200,129900
535354100,8000,63,972,132000
535375010,5470,53,792,99900
535375050,10410,95,660,135000
535376060,10800,72,676,149000
535377150,8146,111,405,114000
535378020,9022,87,768,109500
535378120,10230,86,1054,125000
535381040,10410,96,1313,142900
535382100,7200,101,560,156500
535383060,5400,71,416,59000
535383070,5400,91,840,105000
535383110,10800,91,720,106000
535383120,10800,121,630,78500
535402010,9671,42,1248,190000
535402090,10143,48,1380,154000
535402270,11500,44,1040,163000
535402330,11643,42,1248,200000
535403190,8010,53,951,143500
535403210,10454,54,1105,135000
535403280,8712,54,992,153000
535425070,17600,51,1478,157500
535426150,9000,53,160,113500
535450070,12144,62,832,133000
535450160,8544,61,0,92900
535450200,8064,61,795,128500
535451170,7200,62,0,90000
535451250,7200,61,1208,138000
535452090,7350,53,1041,128000
535452100,7560,53,1029,139000
535452140,7200,59,732,118900
535453100,8000,52,528,138000
535453200,7931,52,1148,132500
535454100,10800,62,832,133500
535454160,8064,63,864,135000
535475010,7570,47,780,144750
535476110,8604,33,941,145000
535476240,7936,48,1045,127000
535477150,6600,49,894,109500
902101010,3950,85,818,115000
902102080,10440,101,440,110000
902103100,4080,76,901,128900
902103120,10307,101,972,103500
902103170,5720,70,676,66500
902105050,15660,101,240,130000
902105060,9900,101,504,129000
902106010,6406,72,690,150000
902106060,6600,119,994,107500
902109130,7627,91,600,94550
902109140,7596,59,960,124500
902110080,3378,65,651,135000
902134120,10134,101,801,103000
902135020,6000,58,936,93000
902201110,6000,61,768,129500
902202150,6000,57,811,93000
902204080,7404,91,861,80000
902205010,5925,71,0,45000
902205030,5925,101,600,37900
902206260,5784,73,190,91300
902207170,8520,88,624,99500
902300090,4456,91,736,113000
902301060,9600,101,677,87500
902301080,3500,64,720,110000
902325070,8100,113,849,106000
902326030,11700,131,1240,265979
902327070,8400,111,917,160000
902329080,3600,94,624,119000
902330040,17671,129,916,168000
902331010,3300,101,624,58500
902401130,9000,91,650,143000
902402150,7200,101,1022,85000
902405100,8820,121,1088,124900
902405120,5400,91,972,119000
902406070,9720,101,741,146500
902477120,7879,91,720,34900
902477130,9392,111,245,44000
903200080,21384,88,1324,223500
903201020,6615,88,1022,149000
903201080,7264,86,952,205000
903202170,4960,81,297,137000
903205040,8854,95,952,121000
903226130,6000,75,672,128000
903226170,6000,74,698,134900
903227070,6000,86,884,117000
903227090,6000,72,780,132500
903228070,6000,87,468,93000
903228120,6000,85,884,119000
903230100,6911,87,1145,100000
903231010,6120,75,927,141500
903231030,6120,76,884,133000
903231060,6120,75,264,60000
903231130,6120,80,715,105000
903232060,6120,86,960,115000
903234220,6120,73,952,150000
903236040,8635,86,1072,126500
903400220,11888,95,844,214500
903425245,11414,101,728,167500
903427120,8094,96,1048,155000
903429080,2500,96,910,155000
903429110,9928,96,672,179900
903430060,5520,99,755,104000
903430070,3000,89,1040,62500
903451090,6876,84,720,149000
903458170,6240,86,780,103000
903475100,5775,96,483,123000
903476090,5852,109,1020,97500
903481120,5160,84,1204,135000
903481130,5160,88,858,70000
903484110,10320,96,698,116000
904100190,4280,65,560,88750
904301060,10800,24,1200,179000
904301070,10800,24,1200,179000
904301100,10547,33,1152,159900
904301375,10020,89,683,61000
904351200,6629,86,672,103600
904351240,9780,77,585,63000
905101260,12886,48,520,175000
905101490,8816,48,1121,139000
905103040,11184,33,918,172500
905103070,11625,44,1052,113500
905105190,7800,44,864,130000
905107310,8014,33,456,149900
905108190,7252,29,858,134900
905108220,8740,29,840,137000
905200220,11616,49,1092,139000
905200260,15400,50,552,165000
905200350,15312,51,1138,148000
905225090,15584,55,825,165000
905228050,9000,64,0,63900
905229040,11250,54,1104,161500
905325020,25095,43,1437,143000
905377010,17140,55,1134,135000
905377130,12342,71,861,82500
905401100,10708,56,1617,190000
905402060,13680,56,0,139600
905402070,15635,57,0,122000
905450020,9855,55,1436,127500
905451300,9571,55,1073,121500
905451340,9571,53,1276,60000
905452040,9350,65,747,154400
905452050,9340,70,672,113000
905475160,7440,57,1089,125000
905475500,11500,54,0,84000
905476230,4235,27,1049,139500
905478030,11409,62,768,131000
905480030,9060,72,560,105000
905480210,9084,71,755,108000
906201021,10778,21,1054,162000
906201050,19255,28,520,156500
906201130,12327,28,1496,316600
906203120,14684,21,2158,271900
906223060,9317,18,740,213000
906223080,10560,18,1079,239900
906223210,9828,16,1128,239500
906226060,26400,131,0,131000
906226070,7018,32,0,118964
906226080,7018,32,1086,153337
906226090,7018,32,0,147983
906226100,7018,32,0,118858
906226110,7018,32,0,118858
906226120,7018,32,0,142953
906226130,7040,32,1094,148325
906226140,7007,32,0,113722
906230010,11855,11,1168,269500
906230020,7939,11,1168,269500
906230030,7976,11,1168,269500
906340100,10933,2,1555,323262
906340110,10637,4,1705,297000
906340120,10226,3,1622,295493
906340130,10816,3,1720,332000
906378110,9178,3,1468,239900
906380050,10769,4,866,212000
906380060,11422,4,1838,272500
906380100,11923,4,1800,239000
906380130,8814,5,1604,220000
906380210,6762,4,1282,200000
906380220,10324,3,1254,221800
906392070,7314,4,1232,194500
906392110,11645,6,1498,237000
906392130,11646,6,704,173000
906402060,12800,22,1518,275000
906426210,16698,19,1449,233500
906475070,28698,44,1013,185000
907126010,12464,15,1040,152000
907126050,9757,17,990,143000
907130100,15426,14,928,231500
907131090,10667,15,799,212000
907131190,14753,13,1463,207000
907135040,10859,17,1097,145000
907135170,8072,17,990,138000
907175100,10400,13,866,197900
907180130,10335,12,1490,204000
907181100,9017,12,1431,192000
907185050,8750,13,928,200000
907192030,8935,9,831,195000
907192090,9808,9,1573,227000
907194010,12420,10,944,230000
907194110,16285,10,1413,187100
907194160,10739,9,1431,203000
907196060,11166,10,1492,201000
907200230,8430,33,1040,124000
907201220,16269,33,907,140000
907201280,6950,32,914,134900
907202050,8800,34,1040,150500
907202080,7000,33,864,136500
907202130,9286,34,1268,143500
907227030,15523,39,864,133500
907227080,7200,39,894,123000
907227110,7200,39,768,133900
907227290,8445,39,768,133000
907250070,11664,9,1569,250000
907252060,12334,8,1068,254750
907252210,11838,10,1753,236500
907252220,11885,10,1299,261500
907253130,11050,11,1440,313000
907260030,8749,9,840,198500
907265010,11250,10,944,211000
907275010,15750,12,1462,220000
907275090,11883,15,1504,203000
907275140,12782,9,1822,279500
907280170,8750,14,1417,210000
907285020,9375,14,1057,219500
907285050,8750,15,880,191000
907290070,9100,10,1212,178000
907290090,9750,11,1630,213000
907290180,4435,8,848,144000
907290210,4435,8,848,140000
907410130,10200,4,1578,293200
907412020,9313,7,864,190000
907414020,8487,7,1500,190000
907414080,8633,6,738,173500
907420040,11069,4,608,170000
908102050,8777,62,0,108000
908102270,9937,47,1486,167000
908102290,8877,73,816,100000
908128060,7301,8,0,198500
908151050,7950,34,690,159500
908152035,10682,51,1014,127000
908152100,7200,35,1041,125000
908154040,13286,4,1698,320000
908186080,3675,6,547,145500
908201040,9405,64,698,118000
908203090,6410,52,876,85000
908225290,11767,61,1078,120000
908225370,8405,66,0,98000
908229020,4060,89,864,99900
908250030,10206,59,0,82000
908275040,10926,52,1678,119900
908275110,11767,55,1150,103500
908276150,8926,55,672,112000
909101010,12354,91,684,110000
909101100,8212,70,720,122000
909101140,10998,70,984,117000
909129090,6300,73,832,160000
909129100,4500,79,793,159434
909175080,8400,91,290,60000
909178160,9900,71,778,139500
909179020,15863,91,824,197000
909250080,5707,76,583,105000
909250220,7804,83,1122,135000
909251050,8574,95,816,147500
909251170,6171,86,976,137450
909252020,7200,75,560,155000
909253010,7558,83,896,177000
909253180,6292,83,861,145000
909254010,7155,93,600,137000
909257050,10918,85,1276,234000
909275080,13680,71,840,205000
909276110,7500,69,771,177500
909276200,9600,71,728,160000
909277090,14680,51,1273,155000
909277100,13360,90,876,163500
909278020,7681,90,731,154900
909279010,8145,71,920,205000
909282130,9100,57,1112,144800
909425060,12000,70,704,174500
909425130,13339,51,1561,193000
909426090,15600,62,1067,158000
909427200,14000,61,1092,158500
909428240,17500,57,1310,224000
909451040,1733,31,516,115000
909451100,1488,31,561,137000
909451140,1612,31,561,121000
909451180,1300,31,561,124000
909452050,13607,25,572,208000
909475040,17597,40,1803,315000
909475300,21695,23,880,222000
910202070,10690,91,672,147000
910204050,8660,111,760,123000
910205020,6402,91,596,78000
911103050,8470,96,1013,85000
911104060,10200,86,572,75000
911370500,3843,4,1596,230000
912251110,21780,101,0,57625
914465020,10125,11,1107,251000
914465040,12822,8,1434,239686
914465055,12118,7,1710,240000
914474070,12209,10,804,215000
914475010,9750,34,902,156450
914475030,9360,34,957,173000
914476020,10125,34,0,126000
914476380,9947,21,1188,173000
914476430,11070,20,1582,152000
916176030,14375,53,819,137500
916176125,215245,46,2136,375000
916380070,12898,4,1620,315500
916382010,13159,2,846,224500
916382100,13438,3,2190,410000
916382110,14463,3,1641,316500
916386140,8925,4,1466,201000
