customerID,TotalCharges,MonthlyCharges,tenure,Contract_Month-to-month,Contract_One year,Contract_Two year,PaperlessBilling_No,PaperlessBilling_Yes,PaymentMethod_Bank transfer (automatic),PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,InternetService_DSL,InternetService_Fiber optic,InternetService_No,StreamingTV_No,StreamingTV_Yes,StreamingMovies_No,StreamingMovies_Yes,PhoneService_No,PhoneService_Yes,Churn
8208-EUMTE,916.15,54.85,16,0,0,1,1,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0
0701-TJSEF,576.95,68.25,9,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,1,0
7663-ZTEGJ,2830.45,100.55,29,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0
3003-CMDUU,2395.7,95.15,25,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0
9494-BDNNC,6273.4,95.3,66,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0
4074-SJFFA,54.75,54.75,1,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,1,1
8261-GWDBQ,6925.9,116.05,60,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,1,0,1,0
3836-FZSDJ,1901.0,24.85,71,0,0,1,1,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0
5130-IEKQT,2655.25,105.95,25,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,1,1
7994-UYIVZ,659.45,85.65,8,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,1,0
0260-ZDLGK,651.4,72.9,9,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,1,1
8262-COGGB,20.45,20.45,1,1,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,1,0
2081-VEYEH,318.6,107.95,3,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0
8919-FYFQZ,1359.7,30.35,44,1,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,1,0,1
7408-OFWXJ,6510.45,89.8,72,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0
4918-FYJNT,5044.8,90.45,55,1,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0
7893-IXHRQ,20.55,20.55,1,1,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,1
6897-RWMUB,4158.25,68.05,61,0,0,1,0,1,1,0,0,0,1,0,0,1,0,1,0,0,1,0
5153-LXKDT,7467.5,110.2,68,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0
5536-SLHPM,4458.15,77.75,55,1,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,1,1
8183-ONMXC,159.45,80.75,2,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,1,1
0829-XXPLX,1871.15,89.4,20,1,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,1,0
3692-JHONH,5621.85,106.5,52,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0
4059-IIEBK,522.95,78.55,7,1,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,1,0
6670-MFRPK,5420.65,79.2,69,0,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0,1,0
0002-ORFBO,593.3,65.6,9,0,1,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,1,0
9572-MTILT,6252.9,106.75,59,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,1,1
9081-WWXKP,873.4,20.25,47,0,0,1,1,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0
0691-IFBQW,4874.8,110.0,46,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,1
1163-ONYEY,3023.55,74.55,41,1,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,1,0
8108-UXRQN,565.35,50.55,11,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0
3645-DEYGF,20.75,20.75,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0
0256-LTHVJ,2227.1,81.05,28,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,1,1
9221-OTIVJ,1531.4,104.85,14,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,1
5948-UJZLF,97.0,49.25,2,1,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0
0117-LFRMW,1448.8,40.2,37,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,1,0,1
5570-PTWEH,216.75,75.15,3,1,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,1,1
3799-ISUZQ,529.5,69.95,7,1,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,1,1
0268-QKIWO,58.85,19.75,3,1,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,1
1098-TDVUQ,19.25,19.25,1,1,0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,1,0
5208-HFSBT,102.75,55.05,2,1,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,1,1
8118-LSUEL,2483.5,106.4,23,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,1
2055-PDADH,204.7,70.4,3,1,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,1,1
3148-AOIQT,1718.35,24.95,69,0,0,1,0,1,0,1,0,0,0,0,1,1,0,1,0,0,1,0
7851-WZEKY,196.9,95.15,2,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,1
9526-BIHHD,29.7,29.7,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,1,0,1
4160-AMJTL,164.3,19.65,8,1,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,1
2077-DDHJK,4911.35,70.9,68,0,0,1,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0
1020-JPQOW,5116.6,90.55,56,1,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0
1564-HJUVY,226.2,63.75,4,1,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,1,0
6637-KYRCV,167.2,30.5,5,1,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0
2604-XVDAM,540.95,43.8,12,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0
9640-ZSLDC,3297.0,60.6,53,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0
2851-MMUTZ,1439.35,56.15,27,1,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,1,0
4223-WOZCM,107.1,49.95,2,1,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0
4786-UKSNZ,20.2,20.2,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,1,1
4115-NZRKS,574.35,89.15,7,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0
5799-JRCZO,1215.1,19.5,63,0,0,1,1,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0
0581-MDMPW,2072.75,88.95,24,1,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,1,0
5406-KGRMX,1719.15,24.55,71,0,0,1,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0
5550-VFRLC,69.85,69.85,1,1,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,1,1
3982-XWFZQ,2203.65,50.25,42,1,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,1
9089-UOWJG,740.55,58.35,12,1,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,1,0
3097-FQTVJ,810.3,20.0,41,0,0,1,1,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0
4811-JBUVU,2723.15,89.9,30,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0
6609-MXJHJ,789.55,25.1,30,0,0,1,0,1,0,0,0,1,0,0,1,1,0,1,0,0,1,0
5458-CQJTA,4820.15,74.8,65,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,1,0,1,1
0799-DDIHE,639.45,46.3,15,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0
9844-FELAJ,7475.85,107.9,70,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0
4661-NJEUX,20.05,20.05,1,1,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,1,0
4192-GORJT,498.1,94.45,5,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,1
1934-SJVJK,20.15,20.15,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,1,1
4385-ZKVNW,2549.1,54.9,44,1,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,1,0
9253-QXKBE,2653.65,94.45,29,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,1
6997-UVGOX,6029.9,85.45,71,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0
2039-JONDJ,1477.65,55.45,27,0,1,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0
0601-WZHJF,667.7,46.35,14,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,1,0,1
6682-QJDGB,2139.2,55.25,40,1,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,1,1
1452-KIOVK,1949.4,89.1,22,1,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,1,0
3374-LXDEV,1132.35,89.4,13,1,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,1,1
0661-WCQNQ,1292.2,56.25,22,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,1,0
2002-MZHWP,20.5,20.5,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,1,1
8111-BKVDS,449.3,40.7,10,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0
0319-QZTCO,168.6,58.7,3,1,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,1,0
4373-VVHQL,44.75,44.75,1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0
4063-EIKNQ,267.35,20.95,11,1,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0
5275-SQEIZ,80.85,80.85,1,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,1,1
8515-OCTJS,692.1,24.75,25,0,0,1,1,0,0,1,0,0,0,0,1,1,0,1,0,0,1,1
7694-VLBWQ,7040.85,104.1,67,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,1,1
4236-XPXAV,465.05,99.15,5,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,1,1
3866-MDTUB,146.9,70.75,2,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,1,1
4782-OSFXZ,5831.2,82.7,71,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,1,0,1,0
8375-DKEBR,69.6,69.6,1,1,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,1,1
4006-HKYHO,5309.5,86.7,63,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,1,0,1,0
5074-FBGHB,6889.8,104.65,64,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,1,0
4109-CYRBD,1442.0,51.6,29,1,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0
3951-NJCVI,3944.5,95.05,42,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0
2886-KEFUM,6873.75,107.5,63,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,1
5183-SNMJQ,865.1,95.1,10,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,1,0
5913-INRQV,3128.8,90.15,34,0,1,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0
3251-YMVWZ,1301.9,24.05,53,0,1,0,1,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0
7137-RYLPP,3171.15,85.7,37,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,1,1
7660-HDPJV,69.2,69.2,1,1,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,1,1
6339-RZCBJ,3771.5,78.9,48,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0
9385-NXKDA,5919.35,82.65,72,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0,1,0
3422-WJOYD,1426.45,54.35,28,0,1,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0
3445-HXXGF,2651.2,45.3,58,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,1,0,1
3352-RICWQ,210.65,19.75,9,0,0,1,1,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0
8952-WCVCD,4162.05,104.45,41,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,1,0
6184-DYUOB,55.25,19.6,3,1,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,1,0
0640-YJTPY,1493.75,21.0,72,0,0,1,1,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0
7243-LCGGZ,20.9,20.9,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0
8383-SGHJU,1952.8,59.4,33,0,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0
2528-HFYZX,1233.4,76.45,17,1,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,1,1
5293-WXJAK,1133.65,104.05,11,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,1,1
5970-GHJAW,862.4,19.95,46,0,0,1,1,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0
1265-XTECC,6581.9,96.55,68,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,1,1
7854-FOKSF,35.9,35.9,1,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,1,0,1
4992-LTJNE,3983.6,55.3,72,0,0,1,1,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0
3930-ZGWVE,19.75,19.75,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0
9317-WZPGV,159.4,79.75,2,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,1,1
9889-TMAHG,832.35,100.3,8,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,1,1
4983-CLMLV,5138.1,102.7,52,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,1,0
8361-LBRDI,1423.85,24.35,58,0,0,1,1,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0
2842-BCQGE,3161.4,75.35,43,1,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,1,0
6786-OBWQR,356.1,80.85,5,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0
0788-DXBFY,1108.8,19.55,58,0,1,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,1,0
5726-CVNYA,146.6,19.85,8,0,0,1,0,1,0,0,0,1,0,0,1,1,0,1,0,0,1,0
3221-CJMSG,1269.6,51.1,24,1,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,1,0
1767-TGTKO,411.75,45.45,8,1,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0
6413-XKKPU,1539.45,89.4,17,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,1,1
2592-SEIFQ,66.95,24.75,3,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,1,0,1
2362-IBOOY,3050.15,84.75,36,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,1,1
0345-HKJVM,577.6,89.3,6,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,1,1
5136-RGMZO,2168.15,71.05,31,1,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,1,0
9430-FRQOC,341.45,87.1,4,1,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,1,1
1644-IRKSF,3124.5,93.8,33,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,1
7924-GJZFI,1813.1,69.3,25,1,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,1,0
6910-HADCM,76.35,76.35,1,1,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,1,1
4236-UJPWO,46.4,24.5,2,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0
3594-UVONA,3110.1,85.95,35,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,1,1
0562-KBDVM,3058.15,44.6,70,0,0,1,0,1,1,0,0,0,1,0,0,1,0,1,0,1,0,0
2249-YPRNG,2239.65,105.85,20,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,1,1
